field_1,lat,long,input_address,estblishment in ent dist_IsEnt
283,43.7932573,-79.1755869,"600 MORRISH RD , Toronto, ON, Canada",
284,43.7849799,-79.3941225,"306 FINCH AVE E, Toronto, ON, Canada",
285,43.6547031,-79.4002122,"171 BALDWIN ST , Toronto, ON, Canada",
286,43.6005364,-79.5058596,"2957 LAKE SHORE BLVD W, Toronto, ON, Canada",
287,43.6995274,-79.4587424,"1272 CASTLEFIELD AVE , Toronto, ON, Canada",
288,43.6903376,-79.5836105,"33 CARLSON CRT , Toronto, ON, Canada",
289,43.6723614,-79.4600321,"315 OSLER ST , Toronto, ON, Canada",
290,43.6511457,-79.4218849,"108 HARRISON ST , Toronto, ON, Canada",
291,43.7212877,-79.236417,"2837 KINGSTON RD , Toronto, ON, Canada",
292,43.6479117,-79.5096364,"2980 BLOOR ST W, Toronto, ON, Canada",
293,43.6647191,-79.4549497,"1621 DUPONT ST , Toronto, ON, Canada",
294,43.6688128,-79.4376137,"1130 DUPONT ST , Toronto, ON, Canada",
295,43.6757061,-79.4107795,"160 KENDAL AVE , Toronto, ON, Canada",
296,43.6689562,-79.3786044,"9 HUNTLEY ST , Toronto, ON, Canada",
297,43.7454291,-79.4883335,"1430 SHEPPARD AVE W, Toronto, ON, Canada",
298,43.6547678,-79.4007034,"80 KENSINGTON AVE , Toronto, ON, Canada",
299,43.673169,-79.4217822,"351 CHRISTIE ST , Toronto, ON, Canada",
300,43.6711999,-79.2951991,"2116 QUEEN ST E, Toronto, ON, Canada",
301,43.6545406,-79.3913461,"131 MC CAUL ST , Toronto, ON, Canada",
302,43.64015,-79.4394508,"1538 QUEEN ST W, Toronto, ON, Canada",
303,43.7592833,-79.5705706,"2995 ISLINGTON AVE , Toronto, ON, Canada",
304,43.6244293,-79.5119544,"930 THE QUEENSWAY  , Toronto, ON, Canada",
305,43.7584813,-79.2234928,"20 GREENCREST CRCT , Toronto, ON, Canada",
306,43.8388228,-79.2300991,"55 MAC FROST WAY , Toronto, ON, Canada",
307,43.690451,-79.327018,"550 MORTIMER AVE , Toronto, ON, Canada",
308,43.7811687,-79.2043244,"9 NEILSON RD , Toronto, ON, Canada",
309,43.6905736,-79.3954777,"1580 YONGE ST , Toronto, ON, Canada",
