"","ESTABLISHMENT_ID","IsED","Inspection","Minor","Significant","Crucial","Total"
"2056","10336795",0,4,4,0,0,4
"2057","10336814",0,4,1,0,0,1
"2058","10336827",0,4,5,4,0,9
"2059","10336829",0,6,8,0,0,8
"2060","10336833",0,4,5,2,0,7
"2061","10336867",0,4,3,1,0,4
"2062","10336894",0,1,0,0,0,0
"2063","10336973",0,3,2,2,0,4
"2064","10337128",0,3,2,0,0,2
"2065","10337142",0,2,2,1,0,3
"2066","10337192",0,4,0,0,0,0
"2067","10337261",0,2,3,1,0,4
"2068","10337343",0,7,6,2,0,8
"2069","10337415",0,5,1,0,0,1
"2070","10337443",0,1,0,0,0,0
"2071","10337527",0,4,2,0,0,2
"2072","10337654",0,4,0,0,0,0
"2073","10337716",0,1,0,0,0,0
"2074","10337825",0,1,2,0,0,2
"2075","10337881",0,4,0,0,0,0
"2076","10338011",0,7,3,7,1,11
"2077","10338020",0,5,3,3,0,6
"2078","10338886",0,6,3,2,0,5
"2079","10339093",0,5,6,5,0,11
"2080","10339311",0,5,2,3,0,5
"2081","10339351",1,1,0,0,0,0
"2082","10339381",0,3,2,0,0,2
"2083","10339382",1,5,0,1,0,1
"2084","10339512",0,6,4,6,0,10
"2085","10339685",0,3,2,2,0,4
"2086","10339687",0,3,3,1,0,4
"2087","10339689",0,4,4,2,0,6
"2088","10339775",0,6,1,6,3,10
"2089","10339794",0,2,1,0,0,1
"2090","10339808",0,3,5,1,0,6
"2091","10339866",0,4,6,0,0,6
"2092","10340010",0,2,2,0,0,2
"2093","10340029",1,2,0,1,0,1
"2094","10340065",1,2,0,0,0,0
"2095","10340075",0,2,0,0,0,0
"2096","10340107",1,1,0,0,0,0
"2097","10340380",0,2,0,2,0,2
"2098","10340404",0,3,4,0,0,4
"2099","10340445",0,4,5,2,0,7
"2100","10340529",0,5,6,1,0,7
"2101","10340654",1,2,0,0,0,0
"2102","10340699",0,1,0,0,0,0
"2103","10340734",0,5,2,2,1,5
"2104","10340749",0,5,4,5,0,9
"2105","10340852",0,2,0,0,0,0
"2106","10340882",0,1,1,0,0,1
"2107","10340911",0,5,4,0,0,4
"2108","10340922",0,6,7,1,0,8
"2109","10340963",1,4,0,1,0,1
"2110","10340995",0,3,0,1,0,1
"2111","10341043",0,2,0,0,0,0
"2112","10341068",0,1,0,0,0,0
"2113","10341089",0,5,0,0,0,0
"2114","10341098",0,2,0,0,0,0
"2115","10341107",0,4,0,0,0,0
"2116","10341140",0,1,0,1,0,1
"2117","10341192",0,5,3,2,0,5
"2118","10341260",0,4,1,0,0,1
"2119","10341262",0,1,0,0,0,0
"2120","10341273",0,1,0,0,0,0
"2121","10341479",0,4,0,0,0,0
"2122","10341486",0,4,6,3,0,9
